Accession	Unclassified	Classified	TotalCount	Accession	Unclassified	Classified	TotalCount	Accession	Unclassified	Classified	TotalCount	Accession	Unclassified	Classified	TotalCount	Accession	Unclassified	Classified	TotalCount	Accession	Unclassified	Classified	TotalCount	Accession	Unclassified	Classified	TotalCount	Accession	Unclassified	Classified	TotalCount	Accession	Unclassified	Classified	TotalCount	Accession	Unclassified	Classified	TotalCount
family-unclassified_V4_BLCA_out_identity100_cov1.00	5401	285	5686	family-unclassified_V4_BLCA_out_identity100_cov1.00	5495	297	5792	family-unclassified_V4_BLCA_out_identity100_cov1.00	5474	300	5774	family-unclassified_V4_BLCA_out_identity100_cov1.00	5470	329	5799	family-unclassified_V4_BLCA_out_identity100_cov1.00	5589	301	5890	family-unclassified_V4_BLCA_out_identity100_cov1.00	5390	296	5686	family-unclassified_V4_BLCA_out_identity100_cov1.00	5492	307	5799	family-unclassified_V4_BLCA_out_identity100_cov1.00	5467	302	5769	family-unclassified_V4_BLCA_out_identity100_cov1.00	5502	288	5790	family-unclassified_V4_BLCA_out_identity100_cov1.00	5403	301	5704
family-unclassified_V4_BLCA_out_identity90_cov0.85	2093	3593	5686	family-unclassified_V4_BLCA_out_identity90_cov0.85	2097	3695	5792	family-unclassified_V4_BLCA_out_identity90_cov0.85	2193	3581	5774	family-unclassified_V4_BLCA_out_identity90_cov0.85	2118	3681	5799	family-unclassified_V4_BLCA_out_identity90_cov0.85	2151	3739	5890	family-unclassified_V4_BLCA_out_identity90_cov0.85	2064	3622	5686	family-unclassified_V4_BLCA_out_identity90_cov0.85	2128	3671	5799	family-unclassified_V4_BLCA_out_identity90_cov0.85	2114	3655	5769	family-unclassified_V4_BLCA_out_identity90_cov0.85	2176	3614	5790	family-unclassified_V4_BLCA_out_identity90_cov0.85	2140	3564	5704
family-unclassified_V4_BLCA_out_identity90_cov0.90	2094	3592	5686	family-unclassified_V4_BLCA_out_identity90_cov0.90	2097	3695	5792	family-unclassified_V4_BLCA_out_identity90_cov0.90	2193	3581	5774	family-unclassified_V4_BLCA_out_identity90_cov0.90	2118	3681	5799	family-unclassified_V4_BLCA_out_identity90_cov0.90	2152	3738	5890	family-unclassified_V4_BLCA_out_identity90_cov0.90	2064	3622	5686	family-unclassified_V4_BLCA_out_identity90_cov0.90	2130	3669	5799	family-unclassified_V4_BLCA_out_identity90_cov0.90	2114	3655	5769	family-unclassified_V4_BLCA_out_identity90_cov0.90	2176	3614	5790	family-unclassified_V4_BLCA_out_identity90_cov0.90	2140	3564	5704
family-unclassified_V4_BLCA_out_identity90_cov0.95	2101	3585	5686	family-unclassified_V4_BLCA_out_identity90_cov0.95	2105	3687	5792	family-unclassified_V4_BLCA_out_identity90_cov0.95	2196	3578	5774	family-unclassified_V4_BLCA_out_identity90_cov0.95	2120	3679	5799	family-unclassified_V4_BLCA_out_identity90_cov0.95	2153	3737	5890	family-unclassified_V4_BLCA_out_identity90_cov0.95	2065	3621	5686	family-unclassified_V4_BLCA_out_identity90_cov0.95	2136	3663	5799	family-unclassified_V4_BLCA_out_identity90_cov0.95	2121	3648	5769	family-unclassified_V4_BLCA_out_identity90_cov0.95	2179	3611	5790	family-unclassified_V4_BLCA_out_identity90_cov0.95	2146	3558	5704
family-unclassified_V4_BLCA_out_identity95_cov0.95	3844	1842	5686	family-unclassified_V4_BLCA_out_identity95_cov0.95	3933	1859	5792	family-unclassified_V4_BLCA_out_identity95_cov0.95	3938	1836	5774	family-unclassified_V4_BLCA_out_identity95_cov0.95	3814	1985	5799	family-unclassified_V4_BLCA_out_identity95_cov0.95	3951	1939	5890	family-unclassified_V4_BLCA_out_identity95_cov0.95	3785	1901	5686	family-unclassified_V4_BLCA_out_identity95_cov0.95	3887	1912	5799	family-unclassified_V4_BLCA_out_identity95_cov0.95	3893	1876	5769	family-unclassified_V4_BLCA_out_identity95_cov0.95	3915	1875	5790	family-unclassified_V4_BLCA_out_identity95_cov0.95	3900	1804	5704
family-unclassified_V4_BLCA_out_identity97_cov0.95	4504	1182	5686	family-unclassified_V4_BLCA_out_identity97_cov0.95	4637	1155	5792	family-unclassified_V4_BLCA_out_identity97_cov0.95	4589	1185	5774	family-unclassified_V4_BLCA_out_identity97_cov0.95	4528	1271	5799	family-unclassified_V4_BLCA_out_identity97_cov0.95	4632	1258	5890	family-unclassified_V4_BLCA_out_identity97_cov0.95	4508	1178	5686	family-unclassified_V4_BLCA_out_identity97_cov0.95	4534	1265	5799	family-unclassified_V4_BLCA_out_identity97_cov0.95	4592	1177	5769	family-unclassified_V4_BLCA_out_identity97_cov0.95	4612	1178	5790	family-unclassified_V4_BLCA_out_identity97_cov0.95	4552	1152	5704
family-unclassified_V4_BLCA_out_identity97_cov0.97	4504	1182	5686	family-unclassified_V4_BLCA_out_identity97_cov0.97	4639	1153	5792	family-unclassified_V4_BLCA_out_identity97_cov0.97	4590	1184	5774	family-unclassified_V4_BLCA_out_identity97_cov0.97	4530	1269	5799	family-unclassified_V4_BLCA_out_identity97_cov0.97	4632	1258	5890	family-unclassified_V4_BLCA_out_identity97_cov0.97	4508	1178	5686	family-unclassified_V4_BLCA_out_identity97_cov0.97	4535	1264	5799	family-unclassified_V4_BLCA_out_identity97_cov0.97	4595	1174	5769	family-unclassified_V4_BLCA_out_identity97_cov0.97	4613	1177	5790	family-unclassified_V4_BLCA_out_identity97_cov0.97	4554	1150	5704
family-unclassified_V4_BLCA_out_identity97_cov0.99	4521	1165	5686	family-unclassified_V4_BLCA_out_identity97_cov0.99	4650	1142	5792	family-unclassified_V4_BLCA_out_identity97_cov0.99	4607	1167	5774	family-unclassified_V4_BLCA_out_identity97_cov0.99	4551	1248	5799	family-unclassified_V4_BLCA_out_identity97_cov0.99	4652	1238	5890	family-unclassified_V4_BLCA_out_identity97_cov0.99	4512	1174	5686	family-unclassified_V4_BLCA_out_identity97_cov0.99	4551	1248	5799	family-unclassified_V4_BLCA_out_identity97_cov0.99	4610	1159	5769	family-unclassified_V4_BLCA_out_identity97_cov0.99	4627	1163	5790	family-unclassified_V4_BLCA_out_identity97_cov0.99	4567	1137	5704
family-unclassified_V4_BLCA_out_identity98_cov0.98	4732	954	5686	family-unclassified_V4_BLCA_out_identity98_cov0.98	4859	933	5792	family-unclassified_V4_BLCA_out_identity98_cov0.98	4815	959	5774	family-unclassified_V4_BLCA_out_identity98_cov0.98	4794	1005	5799	family-unclassified_V4_BLCA_out_identity98_cov0.98	4871	1019	5890	family-unclassified_V4_BLCA_out_identity98_cov0.98	4732	954	5686	family-unclassified_V4_BLCA_out_identity98_cov0.98	4775	1024	5799	family-unclassified_V4_BLCA_out_identity98_cov0.98	4829	940	5769	family-unclassified_V4_BLCA_out_identity98_cov0.98	4850	940	5790	family-unclassified_V4_BLCA_out_identity98_cov0.98	4777	927	5704
family-unclassified_V4_BLCA_out_identity99_cov0.99	5069	617	5686	family-unclassified_V4_BLCA_out_identity99_cov0.99	5157	635	5792	family-unclassified_V4_BLCA_out_identity99_cov0.99	5132	642	5774	family-unclassified_V4_BLCA_out_identity99_cov0.99	5121	678	5799	family-unclassified_V4_BLCA_out_identity99_cov0.99	5225	665	5890	family-unclassified_V4_BLCA_out_identity99_cov0.99	5002	684	5686	family-unclassified_V4_BLCA_out_identity99_cov0.99	5109	690	5799	family-unclassified_V4_BLCA_out_identity99_cov0.99	5153	616	5769	family-unclassified_V4_BLCA_out_identity99_cov0.99	5167	623	5790	family-unclassified_V4_BLCA_out_identity99_cov0.99	5071	633	5704
