Accession	Unclassified	Classified	TotalCount	Accession	Unclassified	Classified	TotalCount	Accession	Unclassified	Classified	TotalCount	Accession	Unclassified	Classified	TotalCount	Accession	Unclassified	Classified	TotalCount	Accession	Unclassified	Classified	TotalCount	Accession	Unclassified	Classified	TotalCount	Accession	Unclassified	Classified	TotalCount	Accession	Unclassified	Classified	TotalCount	Accession	Unclassified	Classified	TotalCount
family-unclassified_MinLen_V4_BLCA_out_identity100_cov1.00	5359	327	5686	family-unclassified_MinLen_V4_BLCA_out_identity100_cov1.00	5436	356	5792	family-unclassified_MinLen_V4_BLCA_out_identity100_cov1.00	5420	354	5774	family-unclassified_MinLen_V4_BLCA_out_identity100_cov1.00	5411	388	5799	family-unclassified_MinLen_V4_BLCA_out_identity100_cov1.00	5536	354	5890	family-unclassified_MinLen_V4_BLCA_out_identity100_cov1.00	5339	347	5686	family-unclassified_MinLen_V4_BLCA_out_identity100_cov1.00	5441	358	5799	family-unclassified_MinLen_V4_BLCA_out_identity100_cov1.00	5404	365	5769	family-unclassified_MinLen_V4_BLCA_out_identity100_cov1.00	5460	330	5790	family-unclassified_MinLen_V4_BLCA_out_identity100_cov1.00	5362	342	5704
family-unclassified_MinLen_V4_BLCA_out_identity90_cov0.85	2032	3654	5686	family-unclassified_MinLen_V4_BLCA_out_identity90_cov0.85	2054	3738	5792	family-unclassified_MinLen_V4_BLCA_out_identity90_cov0.85	2147	3627	5774	family-unclassified_MinLen_V4_BLCA_out_identity90_cov0.85	2054	3745	5799	family-unclassified_MinLen_V4_BLCA_out_identity90_cov0.85	2106	3784	5890	family-unclassified_MinLen_V4_BLCA_out_identity90_cov0.85	2014	3672	5686	family-unclassified_MinLen_V4_BLCA_out_identity90_cov0.85	2062	3737	5799	family-unclassified_MinLen_V4_BLCA_out_identity90_cov0.85	2104	3665	5769	family-unclassified_MinLen_V4_BLCA_out_identity90_cov0.85	2137	3653	5790	family-unclassified_MinLen_V4_BLCA_out_identity90_cov0.85	2093	3611	5704
family-unclassified_MinLen_V4_BLCA_out_identity90_cov0.90	2032	3654	5686	family-unclassified_MinLen_V4_BLCA_out_identity90_cov0.90	2054	3738	5792	family-unclassified_MinLen_V4_BLCA_out_identity90_cov0.90	2147	3627	5774	family-unclassified_MinLen_V4_BLCA_out_identity90_cov0.90	2054	3745	5799	family-unclassified_MinLen_V4_BLCA_out_identity90_cov0.90	2106	3784	5890	family-unclassified_MinLen_V4_BLCA_out_identity90_cov0.90	2015	3671	5686	family-unclassified_MinLen_V4_BLCA_out_identity90_cov0.90	2062	3737	5799	family-unclassified_MinLen_V4_BLCA_out_identity90_cov0.90	2105	3664	5769	family-unclassified_MinLen_V4_BLCA_out_identity90_cov0.90	2137	3653	5790	family-unclassified_MinLen_V4_BLCA_out_identity90_cov0.90	2093	3611	5704
family-unclassified_MinLen_V4_BLCA_out_identity90_cov0.95	2045	3641	5686	family-unclassified_MinLen_V4_BLCA_out_identity90_cov0.95	2067	3725	5792	family-unclassified_MinLen_V4_BLCA_out_identity90_cov0.95	2153	3621	5774	family-unclassified_MinLen_V4_BLCA_out_identity90_cov0.95	2065	3734	5799	family-unclassified_MinLen_V4_BLCA_out_identity90_cov0.95	2120	3770	5890	family-unclassified_MinLen_V4_BLCA_out_identity90_cov0.95	2020	3666	5686	family-unclassified_MinLen_V4_BLCA_out_identity90_cov0.95	2074	3725	5799	family-unclassified_MinLen_V4_BLCA_out_identity90_cov0.95	2117	3652	5769	family-unclassified_MinLen_V4_BLCA_out_identity90_cov0.95	2146	3644	5790	family-unclassified_MinLen_V4_BLCA_out_identity90_cov0.95	2108	3596	5704
family-unclassified_MinLen_V4_BLCA_out_identity95_cov0.95	3851	1835	5686	family-unclassified_MinLen_V4_BLCA_out_identity95_cov0.95	3918	1874	5792	family-unclassified_MinLen_V4_BLCA_out_identity95_cov0.95	3913	1861	5774	family-unclassified_MinLen_V4_BLCA_out_identity95_cov0.95	3780	2019	5799	family-unclassified_MinLen_V4_BLCA_out_identity95_cov0.95	3944	1946	5890	family-unclassified_MinLen_V4_BLCA_out_identity95_cov0.95	3802	1884	5686	family-unclassified_MinLen_V4_BLCA_out_identity95_cov0.95	3864	1935	5799	family-unclassified_MinLen_V4_BLCA_out_identity95_cov0.95	3897	1872	5769	family-unclassified_MinLen_V4_BLCA_out_identity95_cov0.95	3889	1901	5790	family-unclassified_MinLen_V4_BLCA_out_identity95_cov0.95	3887	1817	5704
family-unclassified_MinLen_V4_BLCA_out_identity97_cov0.95	4448	1238	5686	family-unclassified_MinLen_V4_BLCA_out_identity97_cov0.95	4580	1212	5792	family-unclassified_MinLen_V4_BLCA_out_identity97_cov0.95	4533	1241	5774	family-unclassified_MinLen_V4_BLCA_out_identity97_cov0.95	4480	1319	5799	family-unclassified_MinLen_V4_BLCA_out_identity97_cov0.95	4560	1330	5890	family-unclassified_MinLen_V4_BLCA_out_identity97_cov0.95	4453	1233	5686	family-unclassified_MinLen_V4_BLCA_out_identity97_cov0.95	4479	1320	5799	family-unclassified_MinLen_V4_BLCA_out_identity97_cov0.95	4544	1225	5769	family-unclassified_MinLen_V4_BLCA_out_identity97_cov0.95	4530	1260	5790	family-unclassified_MinLen_V4_BLCA_out_identity97_cov0.95	4489	1215	5704
family-unclassified_MinLen_V4_BLCA_out_identity97_cov0.97	4448	1238	5686	family-unclassified_MinLen_V4_BLCA_out_identity97_cov0.97	4582	1210	5792	family-unclassified_MinLen_V4_BLCA_out_identity97_cov0.97	4533	1241	5774	family-unclassified_MinLen_V4_BLCA_out_identity97_cov0.97	4481	1318	5799	family-unclassified_MinLen_V4_BLCA_out_identity97_cov0.97	4560	1330	5890	family-unclassified_MinLen_V4_BLCA_out_identity97_cov0.97	4453	1233	5686	family-unclassified_MinLen_V4_BLCA_out_identity97_cov0.97	4479	1320	5799	family-unclassified_MinLen_V4_BLCA_out_identity97_cov0.97	4544	1225	5769	family-unclassified_MinLen_V4_BLCA_out_identity97_cov0.97	4532	1258	5790	family-unclassified_MinLen_V4_BLCA_out_identity97_cov0.97	4489	1215	5704
family-unclassified_MinLen_V4_BLCA_out_identity97_cov0.99	4459	1227	5686	family-unclassified_MinLen_V4_BLCA_out_identity97_cov0.99	4585	1207	5792	family-unclassified_MinLen_V4_BLCA_out_identity97_cov0.99	4534	1240	5774	family-unclassified_MinLen_V4_BLCA_out_identity97_cov0.99	4486	1313	5799	family-unclassified_MinLen_V4_BLCA_out_identity97_cov0.99	4566	1324	5890	family-unclassified_MinLen_V4_BLCA_out_identity97_cov0.99	4456	1230	5686	family-unclassified_MinLen_V4_BLCA_out_identity97_cov0.99	4486	1313	5799	family-unclassified_MinLen_V4_BLCA_out_identity97_cov0.99	4552	1217	5769	family-unclassified_MinLen_V4_BLCA_out_identity97_cov0.99	4541	1249	5790	family-unclassified_MinLen_V4_BLCA_out_identity97_cov0.99	4495	1209	5704
family-unclassified_MinLen_V4_BLCA_out_identity98_cov0.98	4730	956	5686	family-unclassified_MinLen_V4_BLCA_out_identity98_cov0.98	4854	938	5792	family-unclassified_MinLen_V4_BLCA_out_identity98_cov0.98	4798	976	5774	family-unclassified_MinLen_V4_BLCA_out_identity98_cov0.98	4781	1018	5799	family-unclassified_MinLen_V4_BLCA_out_identity98_cov0.98	4860	1030	5890	family-unclassified_MinLen_V4_BLCA_out_identity98_cov0.98	4715	971	5686	family-unclassified_MinLen_V4_BLCA_out_identity98_cov0.98	4778	1021	5799	family-unclassified_MinLen_V4_BLCA_out_identity98_cov0.98	4825	944	5769	family-unclassified_MinLen_V4_BLCA_out_identity98_cov0.98	4843	947	5790	family-unclassified_MinLen_V4_BLCA_out_identity98_cov0.98	4771	933	5704
family-unclassified_MinLen_V4_BLCA_out_identity99_cov0.99	4997	689	5686	family-unclassified_MinLen_V4_BLCA_out_identity99_cov0.99	5083	709	5792	family-unclassified_MinLen_V4_BLCA_out_identity99_cov0.99	5037	737	5774	family-unclassified_MinLen_V4_BLCA_out_identity99_cov0.99	5032	767	5799	family-unclassified_MinLen_V4_BLCA_out_identity99_cov0.99	5124	766	5890	family-unclassified_MinLen_V4_BLCA_out_identity99_cov0.99	4929	757	5686	family-unclassified_MinLen_V4_BLCA_out_identity99_cov0.99	5016	783	5799	family-unclassified_MinLen_V4_BLCA_out_identity99_cov0.99	5080	689	5769	family-unclassified_MinLen_V4_BLCA_out_identity99_cov0.99	5092	698	5790	family-unclassified_MinLen_V4_BLCA_out_identity99_cov0.99	4995	709	5704
